,0,1,selected,features
488,-0.04,0.07,N,neighbor_ATF12
489,-0.05,0.05,N,neighbor_ATF13
490,-0.04,0.08,N,neighbor_CAR0
491,-0.08,0.02,N,neighbor_CAR1
492,-0.04,0.09,N,neighbor_CAR2
493,-0.05,0.05,N,neighbor_CAR3
494,-0.04,0.08,N,neighbor_CAR4
495,-0.03,0.1,N,neighbor_CAR5
496,-0.09,-0.02,Y,neighbor_CAR6
497,-0.02,0.09,N,neighbor_CAR7
498,-0.13,-0.03,Y,neighbor_CAR8
499,-0.06,0.05,N,neighbor_CAR9
500,-0.06,0.04,N,neighbor_CAR10
501,-0.05,0.07,N,neighbor_CAR11
502,-0.04,0.08,N,neighbor_CAR12
503,-0.04,0.05,N,neighbor_CAR13
504,-0.04,0.06,N,neighbor_CF10
505,-0.05,0.09,N,neighbor_CF11
506,0.02,0.14,Y,neighbor_CF12
507,-0.0,0.01,N,neighbor_CF13
508,-0.05,0.0,N,neighbor_CF14
509,-0.02,0.08,N,neighbor_CF15
510,-0.05,0.06,N,neighbor_CF16
511,-0.07,0.06,N,neighbor_CF17
512,-0.03,0.16,N,neighbor_CF18
513,0.01,0.15,Y,neighbor_CF19
514,-0.03,0.05,N,neighbor_CF110
515,-0.04,0.11,N,neighbor_CF111
516,-0.03,0.1,N,neighbor_CF112
517,-0.02,0.0,N,neighbor_CF113
518,-0.03,0.07,N,neighbor_CF20
519,-0.0,0.0,N,neighbor_CF21
520,-0.0,0.14,N,neighbor_CF22
521,-0.07,0.03,N,neighbor_CF23
522,-0.05,0.04,N,neighbor_CF24
523,-0.0,0.0,N,neighbor_CF25
524,-0.01,0.1,N,neighbor_CF26
525,-0.03,0.07,N,neighbor_CF27
526,-0.01,0.2,N,neighbor_CF28
527,-0.0,0.0,N,neighbor_CF29
528,-0.0,0.0,N,neighbor_CF210
529,-0.04,0.06,N,neighbor_CF211
530,-0.01,0.12,N,neighbor_CF212
531,-0.02,0.01,N,neighbor_CF213
532,-0.0,0.0,N,neighbor_CF30
533,-0.01,0.09,N,neighbor_CF31
534,0.06,0.16,Y,neighbor_CF32
535,-0.02,0.08,N,neighbor_CF33
536,-0.09,0.07,N,neighbor_CF34
537,-0.02,0.09,N,neighbor_CF35
538,-0.03,0.08,N,neighbor_CF36
539,-0.01,0.1,N,neighbor_CF37
540,-0.05,0.03,N,neighbor_CF38
541,-0.03,0.1,N,neighbor_CF39
542,-0.03,0.06,N,neighbor_CF310
543,0.01,0.14,Y,neighbor_CF311
544,-0.04,0.06,N,neighbor_CF312
545,-0.02,0.08,N,neighbor_CF313
546,-0.02,0.09,N,neighbor_CF40
547,-0.08,0.01,N,neighbor_CF41
548,-0.03,0.07,N,neighbor_CF42
549,-0.02,0.08,N,neighbor_CF43
550,-0.04,0.08,N,neighbor_CF44
551,-0.04,0.06,N,neighbor_CF45
552,-0.06,-0.01,Y,neighbor_CF46
553,-0.03,0.09,N,neighbor_CF47
554,-0.11,-0.01,Y,neighbor_CF48
555,-0.03,0.06,N,neighbor_CF49
556,-0.03,0.1,N,neighbor_CF410
557,-0.05,0.06,N,neighbor_CF411
558,-0.05,0.04,N,neighbor_CF412
559,-0.03,0.07,N,neighbor_CF413
560,-0.04,0.05,N,neighbor_Falta0
561,-0.03,0.11,N,neighbor_Falta1
562,0.0,0.12,N,neighbor_Falta2
